All_All1 "150.251.006.000/24"
EMEA_BG-DEV4 "150.251.248.000/22"
EMEA_BG-SOF1 "10.044.003.000/24"
EMEA_BG-VAR1 "10.044.002.000/24"
EMEA_BR-OSA1 "10.250.032.166/32"
EMEA_BR-OSA2 "10.250.046.000/23"
EMEA_CH-ZUR1 "150.251.050.000/23"
EMEA_CZ-PRA1 "10.045.000.000/24"
EMEA_DE-BBG1 "10.105.000.000/21"
EMEA_DE-BBG2 "150.251.252.000/22"
EMEA_DE-BHO1 "10.104.240.000/21"
EMEA_DE-BHO2 "150.251.075.000/24"
EMEA_DE-BWI1 "10.104.016.000/20"
EMEA_DE-BWI2 "150.251.080.000/22"
EMEA_DE-DUS1 "10.104.000.000/22"
EMEA_DE-EPE1 "10.104.252.000/22"
EMEA_DE-FRB1 "10.152.048.000/21"
EMEA_DE-FRB2 "10.152.096.000/20"
EMEA_DE-FRB3 "10.152.128.000/18"
EMEA_DE-GAR1 "10.104.232.000/21"
EMEA_DE-GTN1 "10.104.128.000/24"
EMEA_DE-GTN2 "10.104.129.000/24"
EMEA_DE-HAN1 "10.104.064.000/18"
EMEA_DE-HAN2 "10.240.012.000/24"
EMEA_DE-HAN3 "150.251.088.000/21"
EMEA_DE-HAN4 "192.168.214.000/24"
EMEA_DE-HAN5 "192.168.215.000/24"
EMEA_DE-RBG1 "10.104.032.000/19"
EMEA_DE-RBG2 "10.240.022.000/24"
EMEA_DE-RBG3 "150.251.076.000/22"
EMEA_DE-xxx1 "195.203.118.000/24"
EMEA_EG-ALE1 "10.162.004.000/23"
EMEA_ES-BCA1 "10.076.032.000/22"
EMEA_ES-BLA1 "10.154.032.000/22"
EMEA_ES-BMA1 "10.076.036.000/24"
EMEA_ES-TOR1 "10.076.016.000/20"
EMEA_FI-VOI1 "10.036.000.000/21"
EMEA_FI-VOI2 "150.251.059.000/24"
EMEA_FR-AUB1 "10.120.070.000/25"
EMEA_FR-AUB2 "10.143.120.064/26"
EMEA_FR-BRD1 "10.139.032.000/20"
EMEA_FR-BRD2 "10.139.048.000/20"
EMEA_FR-BRN1 "10.120.073.128/25"
EMEA_FR-CAS1 "10.031.016.000/20"
EMEA_FR-CLA1 "10.250.032.168/32"
EMEA_FR-CLP1 "10.131.000.000/18"
EMEA_FR-CMY1 "10.132.128.000/20"
EMEA_FR-COL1 "10.130.080.000/20"
EMEA_FR-DOM1 "10.120.000.000/20"
EMEA_FR-EPA1 "10.128.128.000/18"
EMEA_FR-EPA2 "10.240.004.000/22"
EMEA_FR-EPA3 "192.168.212.000/24"
EMEA_FR-EPA4 "192.168.252.000/22"
EMEA_FR-MEL1 "10.131.240.000/20"
EMEA_FR-PAR1 "10.121.128.000/19"
EMEA_FR-PAR2 "10.121.160.000/19"
EMEA_FR-PAR3 "10.240.013.000/24"
EMEA_FR-PAR4 "150.251.228.000/22"
EMEA_FR-PAR5 "192.168.142.000/24"
EMEA_FR-PAR6 "192.168.228.000/22"
EMEA_FR-PAT1 "10.017.032.000/20"
EMEA_FR-PAT2 "10.017.216.000/21"
EMEA_FR-PAT3 "10.018.032.000/19"
EMEA_FR-PAT4 "150.251.002.000/24"
EMEA_FR-PAT5 "172.029.163.032/27"
EMEA_FR-PCL1 "10.030.080.000/20"
EMEA_FR-PH21 "10.019.000.000/18"
EMEA_FR-PH22 "10.240.020.000/24"
EMEA_FR-PRO1 "10.121.000.000/22"
EMEA_FR-ROU1 "10.128.064.000/22"
EMEA_FR-ROU2 "10.128.068.240/28"
EMEA_FR-ROU3 "10.128.069.128/25"
EMEA_FR-ROU4 "10.128.072.000/21"
EMEA_FR-ROU5 "10.135.032.000/23"
EMEA_FR-ROU6 "10.135.036.000/24"
EMEA_FR-SAI1 "10.120.069.000/25"
EMEA_FR-SAL1 "10.129.020.000/22"
EMEA_FR-SAL2 "10.132.032.000/20"
EMEA_FR-SFO1 "10.006.000.000/16"
EMEA_FR-SFO2 "10.009.000.000/16"
EMEA_FR-SFO3 "10.011.000.000/16"
EMEA_FR-SFO4 "10.129.064.000/20"
EMEA_FR-SFO5 "10.129.096.000/20"
EMEA_FR-SFO6 "10.129.128.000/22"
EMEA_FR-SFO7 "10.138.160.000/19"
EMEA_FR-SFO8 "10.240.008.000/22"
EMEA_FR-SFO9 "192.168.210.000/24"
EMEA_FR-SFO10 "192.168.224.000/22"
EMEA_FR-SJE1 "10.031.000.000/20"
EMEA_FR-TAV1 "10.120.032.000/19"
EMEA_FR-TAV2 "10.240.021.000/24"
EMEA_FR-TAV3 "150.251.200.128/25"
EMEA_FR-TAV4 "150.251.201.128/26"
EMEA_FR-TAV5 "150.251.202.064/26"
EMEA_FR-TAV6 "150.251.204.112/28"
EMEA_FR-TAV7 "150.251.232.000/21"
EMEA_FR-VAL1 "10.136.096.000/20"
EMEA_FR-VLR1 "10.131.208.000/20"
EMEA_GB-DER1 "10.001.000.000/20"
EMEA_GB-HAL1 "10.144.128.000/20"
EMEA_GB-KEI1 "10.066.032.000/20"
EMEA_GB-LDN1 "10.044.009.000/26"
EMEA_GB-MAN1 "10.066.016.000/20"
EMEA_GB-OLD1 "10.147.048.000/20"
EMEA_GB-OLD2 "10.147.064.000/20"
EMEA_GB-REA1 "10.147.129.000/25"
EMEA_GB-WAF1 "10.036.048.000/21"
EMEA_GB-WAR1 "10.002.000.000/20"
EMEA_GB-WAR2 "150.251.172.000/22"
EMEA_GB-WLT1 "10.147.080.000/24"
EMEA_GB-WRM1 "10.147.128.000/26"
EMEA_GR-ATH1 "150.251.041.160/27"
EMEA_HR-ZAG1 "10.129.000.000/28"
EMEA_HU-BUD1 "150.251.049.192/27"
EMEA_ID-MNY1 "10.250.050.000/24"
EMEA_IT-BOL1 "10.124.032.000/19"
EMEA_IT-BOL2 "10.240.023.000/24"
EMEA_IT-CES1 "10.157.144.000/24"
EMEA_IT-LIV1 "10.156.064.000/20"
EMEA_IT-MAS1 "10.124.004.000/22"
EMEA_IT-MNV1 "10.122.000.000/20"
EMEA_IT-OSP1 "10.156.080.000/20"
EMEA_IT-PON1 "150.251.178.000/24"
EMEA_IT-ROS1 "10.124.016.000/24"
EMEA_IT-ROS2 "10.124.176.000/21"
EMEA_IT-ROS3 "10.240.025.000/24"
EMEA_IT-ROS4 "150.251.176.192/26"
EMEA_IT-ROS5 "150.251.179.000/24"
EMEA_IT-ROS6 "150.251.184.000/22"
EMEA_IT-ROS7 "150.251.188.096/27"
EMEA_IT-ROS8 "150.251.188.128/25"
EMEA_IT-SAL1 "10.124.000.000/27"
EMEA_IT-SAV1 "172.016.022.224/27"
EMEA_IT-SPE1 "10.250.032.043/32"
EMEA_IT-SPE2 "10.250.032.044/32"
EMEA_IT-SPE3 "10.250.032.046/32"
EMEA_IT-SPI1 "10.124.128.000/20"
EMEA_IT-SPI2 "150.251.176.000/28"
EMEA_IT-TOR1 "10.124.001.000/27"
EMEA_IT-VAD1 "10.124.018.000/24"
EMEA_IT-VIC1 "150.251.191.000/24"
EMEA_LU-CAP1 "10.164.000.000/21"
EMEA_LV-RGA1 "10.076.008.000/21"
EMEA_LV-RGB1 "172.016.023.128/25"
EMEA_NL-KLU1 "10.116.016.000/21"
EMEA_NL-LHN1 "10.116.056.000/21"
EMEA_NL-LHN2 "150.251.132.000/24"
EMEA_NL-MAA1 "172.016.021.128/27"
EMEA_NL-NIE1 "10.017.000.000/20"
EMEA_NL-NIE2 "10.017.008.015/32"
EMEA_NL-NIE3 "10.017.013.003/32"
EMEA_NL-NIE4 "10.017.013.004/32"
EMEA_NL-NIE5 "10.017.016.000/20"
EMEA_NL-NIE6 "10.017.207.000/24"
EMEA_NL-NIE7 "10.017.208.000/21"
EMEA_NL-NIE8 "10.018.000.000/19"
EMEA_NL-NIE9 "10.028.000.000/25"
EMEA_NL-NIE10 "10.223.066.000/24"
EMEA_NL-NIE11 "10.250.000.000/26"
EMEA_NL-NIE12 "10.250.000.128/26"
EMEA_NL-NIE13 "10.250.001.000/29"
EMEA_NL-NIE14 "10.250.001.016/28"
EMEA_NL-NIE15 "10.250.032.000/24"
EMEA_NL-NIE16 "10.250.096.000/19"
EMEA_NL-NIE17 "10.250.129.000/24"
EMEA_NL-NIE18 "150.251.005.000/24"
EMEA_NL-NIE19 "150.251.020.000/23"
EMEA_NL-NIE20 "150.251.104.226/32"
EMEA_NL-NIE21 "172.029.163.000/27"
EMEA_NL-NIJ1 "172.016.020.096/27"
EMEA_NL-RIJ1 "172.016.022.192/27"
EMEA_NL-SPJ1 "172.016.019.032/27"
EMEA_NL-TIL1 "10.120.128.000/24"
EMEA_NL-VLA1 "10.122.032.000/21"
EMEA_PL-GOR1 "10.185.144.000/20"
EMEA_PL-WAR1 "150.251.058.128/25"
EMEA_PL-WLO1 "10.032.000.000/21"
EMEA_PT-CAR1 "10.072.048.000/20"
EMEA_PT-CAR2 "10.240.024.000/24"
EMEA_PT-POV1 "10.072.000.000/20"
EMEA_PT-POV2 "150.251.162.000/23"
EMEA_RO-BUC1 "10.128.000.000/24"
EMEA_RU-KST1 "10.250.032.165/32"
EMEA_RU-KST2 "10.250.039.000/24"
EMEA_RU-KST3 "10.250.040.000/22"
EMEA_RU-KST4 "10.250.044.000/24"
EMEA_RU-KST5 "10.250.045.000/24"
EMEA_RU-KST6 "10.250.048.000/24"
EMEA_RU-KST7 "10.250.049.000/24"
EMEA_RU-KST8 "10.250.051.000/24"
EMEA_RU-KST9 "10.250.052.000/24"
EMEA_RU-KST10 "10.250.053.000/24"
EMEA_RU-KST11 "10.250.054.000/24"
EMEA_RU-KST12 "10.250.055.000/24"
EMEA_RU-KST13 "10.250.056.000/21"
EMEA_RU-KST14 "10.250.064.000/22"
EMEA_RU-MOC1 "10.028.008.000/21"
EMEA_RU-SER1 "10.184.208.000/21"
EMEA_RU-SER2 "10.184.222.000/23"
EMEA_SA-ALK1 "10.108.000.000/24"
EMEA_SA-JUL1 "10.108.008.000/22"
EMEA_TR-CAT1 "10.153.048.000/20"
EMEA_TR-MLK1 "10.096.000.000/24"
EMEA_UA-KIE1 "172.016.019.064/27"
EMEA_ZZ-ARS1 "10.141.128.000/24"
EMEA_ZZ-ATE1 "150.251.107.003/32"
EMEA_ZZ-ATE2 "150.251.107.006/32"
EMEA_ZZ-AZU1 "10.042.000.000/24"
EMEA_ZZ-BAS1 "141.006.032.000/19"
EMEA_ZZ-BDP1 "10.250.032.051/32"
EMEA_ZZ-BON1 "10.250.032.147/32"
EMEA_ZZ-BON2 "10.250.032.148/32"
EMEA_ZZ-BUT1 "10.134.000.000/20"
EMEA_ZZ-BUT2 "10.134.032.000/23"
EMEA_ZZ-CAP1 "10.074.057.192/26"
EMEA_ZZ-CAP2 "10.077.081.128/27"
EMEA_ZZ-CAP3 "10.077.091.128/26"
EMEA_ZZ-CAP4 "150.251.104.254/32"
EMEA_ZZ-CAP5 "150.251.104.255/32"
EMEA_ZZ-CGI1 "10.086.253.002/32"
EMEA_ZZ-CON1 "10.142.080.006/32"
EMEA_ZZ-EAS1 "10.250.033.000/28"
EMEA_ZZ-EUR1 "10.250.032.121/32"
EMEA_ZZ-EUR2 "10.250.032.122/32"
EMEA_ZZ-HPC1 "10.042.001.000/24"
EMEA_ZZ-HUF1 "10.250.034.000/24"
EMEA_ZZ-HUS1 "10.250.035.000/24"
EMEA_ZZ-HUU1 "10.250.037.000/24"
EMEA_ZZ-INO1 "10.076.064.000/20"
EMEA_ZZ-INO2 "10.076.080.000/21"
EMEA_ZZ-INO3 "10.076.088.000/22"
EMEA_ZZ-INO4 "10.116.128.000/19"
EMEA_ZZ-INO5 "10.116.192.000/19"
EMEA_ZZ-INO6 "10.124.012.000/25"
EMEA_ZZ-INO7 "10.124.160.000/20"
EMEA_ZZ-INO8 "10.206.003.000/24"
EMEA_ZZ-INO9 "10.206.004.000/24"
EMEA_ZZ-INO10 "10.206.005.000/24"
EMEA_ZZ-INO11 "10.250.032.049/32"
EMEA_ZZ-INO12 "129.230.029.150/32"
EMEA_ZZ-INO13 "129.230.029.156/32"
EMEA_ZZ-INO14 "129.230.031.121/32"
EMEA_ZZ-INO15 "129.230.058.000/23"
EMEA_ZZ-INO16 "134.239.013.000/24"
EMEA_ZZ-INO17 "134.239.192.000/20"
EMEA_ZZ-INO18 "136.158.013.000/24"
EMEA_ZZ-INO19 "172.017.032.000/20"
EMEA_ZZ-INO20 "172.017.064.000/20"
EMEA_ZZ-INO21 "172.017.117.000/24"
EMEA_ZZ-INO22 "172.017.126.000/27"
EMEA_ZZ-INO23 "172.017.126.128/25"
EMEA_ZZ-INO24 "172.017.128.000/24"
EMEA_ZZ-INO25 "172.017.192.000/20"
EMEA_ZZ-INO26 "172.017.240.000/21"
EMEA_ZZ-INO27 "172.021.032.000/19"
EMEA_ZZ-INO28 "172.024.000.000/19"
EMEA_ZZ-JAD1 "10.152.192.000/24"
EMEA_ZZ-KEM1 "10.250.032.059/32"
EMEA_ZZ-KEM2 "10.250.032.060/32"
EMEA_ZZ-MDM1 "213.056.106.067/32"
EMEA_ZZ-MDM2 "213.056.106.068/32"
EMEA_ZZ-MDM3 "213.056.106.069/32"
EMEA_ZZ-NOV1 "10.142.135.111/32"
EMEA_ZZ-NOV2 "10.142.135.116/32"
EMEA_ZZ-NOV3 "10.142.244.001/32"
EMEA_ZZ-NSI1 "10.141.130.000/24"
EMEA_ZZ-OSI1 "10.142.020.128/25"
EMEA_ZZ-OSI2 "10.142.021.000/24"
EMEA_ZZ-OSI3 "10.142.022.000/24"
EMEA_ZZ-OSI4 "10.142.023.000/24"
EMEA_ZZ-OSI5 "10.142.024.000/24"
EMEA_ZZ-OSI6 "10.142.025.000/24"
EMEA_ZZ-OSI7 "10.142.026.000/24"
EMEA_ZZ-OSI8 "10.142.027.000/24"
EMEA_ZZ-OSI9 "10.142.028.000/24"
EMEA_ZZ-OSI10 "10.142.029.000/24"
EMEA_ZZ-OSI11 "10.142.030.000/24"
EMEA_ZZ-OSI12 "10.142.031.000/24"
EMEA_ZZ-OSI13 "10.142.032.000/24"
EMEA_ZZ-OSI14 "10.142.034.000/27"
EMEA_ZZ-SAE1 "10.142.155.038/32"
EMEA_ZZ-SEE1 "10.250.032.190/32"
EMEA_ZZ-SOA1 "10.046.000.000/21"
EMEA_ZZ-TIV1 "10.250.032.193/32"
LAM_AR-BAI1 "10.064.000.000/22"
LAM_AR-EZE1 "150.251.060.000/27"
LAM_BR-BRO1 "10.174.160.000/22"
LAM_BR-BRO2 "10.174.176.000/20"
LAM_BR-CUB1 "10.172.208.000/20"
LAM_BR-CUR1 "10.068.008.000/21"
LAM_BR-CUS1 "10.068.016.000/21"
LAM_BR-CUS2 "10.240.026.000/24"
LAM_BR-HOR1 "10.017.096.000/20"
LAM_BR-HOR2 "10.017.232.000/21"
LAM_BR-HOR3 "10.018.096.000/19"
LAM_BR-HOR4 "150.251.004.000/24"
LAM_BR-HOR5 "172.029.163.096/27"
LAM_BR-IMP1 "10.068.032.000/24"
LAM_BR-ITA1 "10.174.168.000/21"
LAM_BR-ITA2 "10.174.192.000/21"
LAM_BR-PAR1 "150.251.039.000/28"
LAM_BR-PAR2 "150.251.039.064/26"
LAM_BR-PLA1 "10.174.000.000/19"
LAM_BR-PLA2 "10.240.027.000/24"
LAM_BR-PLA3 "172.027.008.000/24"
LAM_BR-PSA1 "10.174.032.000/19"
LAM_BR-PSA2 "172.027.007.000/24"
LAM_BR-SAD1 "172.016.020.128/27"
LAM_BR-SBO1 "10.172.096.000/20"
LAM_BR-SBO2 "172.027.010.000/24"
LAM_BR-SPO1 "10.088.000.000/15"
LAM_BR-SPO2 "10.172.032.000/19"
LAM_BR-SPO3 "10.240.015.000/24"
LAM_BR-SPO4 "172.027.006.000/24"
LAM_BR-SPO5 "192.168.218.000/24"
LAM_BR-SPO6 "192.168.236.000/22"
LAM_BR-TAB1 "10.069.000.000/21"
LAM_CL-ANF1 "10.160.016.000/21"
LAM_CL-ANF2 "164.084.162.000/24"
LAM_CL-SLD1 "10.160.048.000/20"
LAM_CO-BOG1 "10.175.032.000/20"
LAM_EC-GQL1 "10.170.150.000/23"
LAM_GT-AMA1 "10.171.108.000/22"
LAM_GT-GTA1 "10.171.104.000/22"
LAM_PE-MRA1 "10.170.146.000/23"
LAM_UY-MTV1 "10.172.020.000/24"
LAM_VE-BQS1 "10.171.064.000/20"
LAM_VE-VLC1 "10.170.000.000/22"
LAM_ZZ-UNI1 "10.003.000.000/16"
LAM_ZZ-UNI2 "10.008.000.000/16"
LAM_ZZ-UNI3 "10.010.000.000/16"
LAM_ZZ-UNI4 "10.012.000.000/16"
LAM_ZZ-UNI5 "10.064.012.000/23"
NAM_BR-INS1 "10.251.000.015/32"
NAM_BR-SSS1 "10.251.000.010/32"
NAM_CA-NIA1 "10.097.032.000/20"
NAM_CA-NIA2 "164.084.089.000/24"
NAM_CA-NIA3 "164.084.158.000/24"
NAM_MX-ATE1 "10.136.000.000/20"
NAM_MX-ATE2 "164.084.128.000/24"
NAM_MX-JUA1 "150.251.007.000/24"
NAM_MX-MEC1 "172.016.019.160/27"
NAM_MX-MEX1 "10.167.020.000/22"
NAM_MX-MON1 "10.167.000.000/21"
NAM_MX-MON2 "150.251.013.000/24"
NAM_MX-SLP1 "10.167.032.000/22"
NAM_US-AIR1 "10.096.032.000/20"
NAM_US-AIR2 "164.084.175.000/24"
NAM_US-ALB1 "10.169.128.000/22"
NAM_US-ALB2 "172.020.014.000/24"
NAM_US-ALO1 "10.080.248.000/22"
NAM_US-ALP1 "10.080.092.000/22"
NAM_US-ALP2 "10.080.112.000/20"
NAM_US-ALP3 "10.240.014.000/24"
NAM_US-ALP4 "192.168.138.000/24"
NAM_US-ALP5 "192.168.220.000/22"
NAM_US-ARN1 "10.080.003.000/24"
NAM_US-ATL1 "172.016.021.160/27"
NAM_US-AUG1 "10.080.096.000/22"
NAM_US-AUG2 "10.080.128.000/21"
NAM_US-BAL1 "10.166.228.000/22"
NAM_US-BAL2 "10.166.232.000/22"
NAM_US-BEP1 "172.016.023.064/27"
NAM_US-BLI1 "10.161.048.000/20"
NAM_US-BOR1 "10.161.112.000/20"
NAM_US-BRC1 "10.169.132.000/22"
NAM_US-BRC2 "172.020.008.000/24"
NAM_US-BRI1 "10.252.000.000/21"
NAM_US-BRW1 "10.169.136.000/22"
NAM_US-BRW2 "172.020.016.000/24"
NAM_US-BTR1 "10.160.064.000/19"
NAM_US-BTR2 "150.251.206.000/27"
NAM_US-CEK1 "10.076.004.000/24"
NAM_US-CEK2 "10.076.092.000/22"
NAM_US-CEK3 "10.076.096.000/19"
NAM_US-CEK4 "10.165.000.000/18"
NAM_US-CEK6 "164.084.104.000/24"
NAM_US-CEK7 "164.084.200.000/24"
NAM_US-CEK8 "192.168.040.000/24"
NAM_US-CHA1 "10.161.032.000/21"
NAM_US-CHE1 "10.160.000.000/21"
NAM_US-CIN1 "10.161.096.000/20"
NAM_US-COR1 "10.169.140.000/22"
NAM_US-COR2 "172.020.012.000/24"
NAM_US-CST1 "10.169.188.000/22"
NAM_US-CST2 "192.168.013.000/24"
NAM_US-DEN1 "10.254.000.000/22"
NAM_US-DEN2 "172.028.037.000/24"
NAM_US-DEN3 "172.028.219.000/24"
NAM_US-DPK1 "10.080.016.000/21"
NAM_US-EDS1 "10.080.210.000/24"
NAM_US-GIL1 "10.096.048.000/20"
NAM_US-GIL2 "10.255.000.000/22"
NAM_US-GIL3 "164.084.186.000/24"
NAM_US-GIL4 "172.021.037.000/24"
NAM_US-GIL5 "172.021.219.000/24"
NAM_US-GRE1 "10.080.088.000/22"
NAM_US-GRI1 "10.080.160.000/20"
NAM_US-GRI2 "150.251.010.000/24"
NAM_US-GRI3 "150.251.014.000/24"
NAM_US-GRL1 "10.080.002.000/28"
NAM_US-GRN1 "10.080.002.016/28"
NAM_US-HON1 "10.080.064.000/20"
NAM_US-HON2 "10.240.031.000/24"
NAM_US-HOS1 "172.016.019.128/27"
NAM_US-HOT1 "10.080.232.000/22"
NAM_US-KIL1 "10.169.148.000/22"
NAM_US-KIL2 "172.020.018.000/24"
NAM_US-KIN1 "10.080.236.000/22"
NAM_US-KIN2 "150.251.205.000/25"
NAM_US-KLG1 "10.169.144.000/22"
NAM_US-KLG2 "172.020.010.000/24"
NAM_US-LAP1 "172.016.018.064/27"
NAM_US-LBC1 "10.169.172.000/22"
NAM_US-LBC2 "10.169.248.000/21"
NAM_US-LEV1 "172.016.018.096/27"
NAM_US-LMR1 "172.016.018.000/27"
NAM_US-LON1 "10.080.240.000/22"
NAM_US-MID1 "10.169.156.000/22"
NAM_US-MIR1 "10.169.152.000/22"
NAM_US-MIR2 "172.020.020.000/24"
NAM_US-MIY1 "10.169.160.000/22"
NAM_US-MIY2 "172.020.002.000/24"
NAM_US-MTA1 "10.080.008.000/21"
NAM_US-MTA2 "10.080.100.000/22"
NAM_US-MTP1 "10.096.160.000/20"
NAM_US-MTP2 "156.070.144.000/23"
NAM_US-MTT1 "10.080.209.000/24"
NAM_US-NEM1 "172.016.018.128/27"
NAM_US-NEW1 "10.080.212.000/22"
NAM_US-NUN1 "10.169.196.000/24"
NAM_US-ORA1 "10.080.200.000/21"
